"subject","object","probability"
"acquirer","mortal","1"
"faction","ingroup","1"
"genus steatornis","bird genus","1"
"coralberry","shrub","1"
"escape valve","valve","1"
"turkish bath","steam bath","1"
"poster boy","poster child","1"
"jolt","motion","1"
"mound","assemblage","1"
"bimillenary","period of time","1"
"yucca","bush","1"
"corylus avellana grandis","hazelnut tree","1"
"scotoma","visual defect","1"
"high table","board","1"
"rural free delivery","post","1"
"thinner","agent","1"
"deposition","interrogatory","1"
"katari","arab","1"
"mind","opinion","1"
"mayeng","tree","1"
"tyrannicide","execution","1"
"debris surge","rush","1"
"red giant star","star","1"
"midweek","time period","1"
"giver","helper","1"
"propagation","airing","1"
"gopher snake","colubrid snake","1"
"bawler","crier","1"
"saintliness","goodness","1"
"jodhpurs","trouser","1"
"chin","lineament","1"
"cystocele","colpocele","1"
"bacchanalia","festival","1"
"retinue","gathering","1"
"third","position","1"
"biophysics","natural philosophy","1"
"cedar nut","nut","1"
"balance","equality","1"
"gitano","romani","1"
"chemical reactor","setup","1"
"roadworthiness","worthiness","1"
"fleet","steamship line","1"
"skua","jaeger","1"
"brunette","somebody","1"
"hydroxyproline","aminoalkanoic acid","1"
"unit trust","investment trust","1"
"musa paradisiaca","banana","1"
"aquavit","john barleycorn","1"
"agave cantala","agave","1"
"genus porphyra","protoctist genus","1"
"landslide","victory","1"
"ozena","disease","1"
"retirement","status","1"
"objective","goal","1"
"mayfly","ephemerid","1"
"graves' disease","autoimmune disorder","1"
"ectopic gestation","maternity","1"
"prompt","electronic communication","1"
"crataegus oxycantha","hawthorn","1"
"jugale","craniometric point","1"
"cypripedium album","lady-slipper","1"
"glare","prominence","1"
"micromeria chamissonis","herb","1"
"ivy family","rosid dicot family","1"
"sheepman","herder","1"
"youth hostel","lodging","1"
"toehold","position","1"
"superciliousness","high-handedness","1"
"opec","oil cartel","1"
"subway","railway line","1"
"fuzz","policeman","1"
"robotics equipment","equipment","1"
"lowland","depression","1"
"delta","formation","1"
"gore","slaying","1"
"advertorial","advert","1"
"morphine","opiate","1"
"totemist","mortal","1"
"student teacher","university student","1"
"breather","air passage","1"
"thiazide","diuretic","1"
"red morning-glory","morning glory","1"
"trade-in","property","1"
"sporanox","antifungal agent","1"
"public treasury","exchequer","1"
"presentiment","apprehension","1"
"kentan","lily","1"
"picric acid","acid","1"
"comptroller of the currency","functionary","1"
"prociphilus tessellatus","woolly aphid","1"
"endurance","animation","1"
"nationalist","subject","1"
"hemiprocnidae","bird family","1"
"wrist bone","os","1"
"tie rod","rod","1"
"log","written account","1"
"suborner","felon","1"
"marriage bed","bed","1"
"gibberellic acid","gibberellin","1"
"blank","graphic symbol","1"
"track","belt","1"
"transitiveness","grammatical relation","1"
"tiff","row","1"
"volvocaceae","protoctist family","1"
"thrust","criticism","1"
"family unit","kin","1"
"head","projection","1"
"masking piece","scene","1"
"mile","large indefinite quantity","1"
"report","making known","1"
"disengagement","separation","1"
"cardiovascular system","vascular system","1"
"homogentisic acid","acid","1"
"narc","peace officer","1"
"visceral pericardium","serous membrane","1"
"genus mayaca","liliopsid genus","1"
"birth","person","1"
"presbyopia","longsightedness","1"
"proletarian","common person","1"
"lesser spearwort","marsh plant","1"
"meromelia","congenital abnormality","1"
"mujahedeen khalq","mujahedin","1"
"valuation","assessment","1"
"day blindness","visual impairment","1"
"free association","thought","1"
"verticil","curl","1"
"channel","water","1"
"built in bed","bed","1"
"eosinophil","white corpuscle","1"
"car boot sale","sales event","1"
"coaling station","harbor","1"
"big-bang theory","scientific theory","1"
"onion salt","flavorer","1"
"dangerousness","characteristic","1"
"ungulate","placental","1"
"divan","couch","1"
"find","insight","1"
"plasmodial slime mold","slime mould","1"
"smooth alder","alder tree","1"
"herbage","herb","1"
"durian tree","fruit tree","1"
"bad luck","destiny","1"
"oratory","address","1"
"camera lens","lens system","1"
"accommodation reflex","innate reflex","1"
"atmosphere","quality","1"
"climbing hempweed","vine","1"
"genus argusianus","bird genus","1"
"devotion","love","1"
"weeping beech","beech tree","1"
"scan","examination","1"
"tachometer","measuring instrument","1"
"condylura cristata","mole","1"
"attentiveness","attention","1"
"pilus","filum","1"
"anastomosis","conjugation","1"
"amytal","amobarbital","1"
"genus lysichiton","monocot genus","1"
"amine","paraffin series","1"
"bey","man","1"
"era","measure","1"
"abelmosk","mallow","1"
"examinee","answerer","1"
"fresh water","h2o","1"
"chili pepper","hot pepper","1"
"vaquero","cowman","1"
"gluteus medius","gluteal muscle","1"
"genus primula","dicot genus","1"
"himantopus mexicanus","stilt plover","1"
"half eagle","coin","1"
"weighbridge","scale","1"
"blister","vesicle","1"
"low spirits","depression","1"
"chest of drawers","piece of furniture","1"
"difficulty","sweat","1"
"duckweed","aquatic plant","1"
"scapegoat","victim","1"
"hackmatack","poplar","1"
"birling","spin","1"
"shaving-brush tree","tree","1"
"adverb","major form class","1"
"gossamer","fibril","1"
"reversal","turn","1"
"falchion","sword","1"
"common carotid","carotid artery","1"
"calligraphy","script","1"
"porkfish","grunt","1"
"dirty joke","gag","1"
"fetometry","measure","1"
"susurrus","sound","1"
"classified ad","newspaper ad","1"
"electric shock","torture","1"
"ordinance","rule","1"
"patronage","social control","1"
"potemkin village","postiche","1"
"newtonian mechanics","mechanics","1"
"xanthoma multiplex","xanthoma","1"
"premix","concoction","1"
"flavorlessness","unappetisingness","1"
"railroad tunnel","tunnel","1"
"continental shelf","davy jones's locker","1"
"green","spectral colour","1"
"trucking industry","industry","1"
"despite","dislike","1"
"karaoke","singing","1"
"porphyria","inherited disorder","1"
"sens","cannabis","1"
"basketball shot","shot","1"
"group captain","senior pilot","1"
"wart","blemish","1"
"swan orchid","orchidaceous plant","1"
"autocatalysis","contact action","1"
"shipboard soldier","military man","1"
"bureaucracy","government","1"
"pfannkuchen","pancake","1"
"scarabaeid beetle","lamellicorn beetle","1"
"family cardiidae","mollusk family","1"
"locomotion","movement","1"
"conception","creative thinking","1"
"synanceja verrucosa","scorpaenid","1"
"government office","business office","1"
"family ulmaceae","dicot family","1"
"courser","shorebird","1"
"oxyopia","sharp-sightedness","1"
"common hop","hops","1"
"aerobacter aerogenes","bacteria species","1"
"galere","inner circle","1"
"viewpoint","position","1"
"division","naval unit","1"
"mid-fifties","time of life","1"
"swamp rose mallow","hibiscus","1"
"cancer","soul","1"
"ring rot bacteria","pseudomonad","1"
"usualness","commonplaceness","1"
"boomer","someone","1"
"stunt man","backup man","1"
"hyperstat","vasodilative","1"
"english","humanities","1"
"guide","construction","1"
"antagonist","drug","1"
"genus erythronium","liliid monocot genus","1"
"dibrach","metrical foot","1"
"watermelon vine","melon vine","1"
"unproductiveness","fruitlessness","1"
"mesquite gum","gum","1"
"beggarman","mendicant","1"
"switch","railroad","1"
"daring","fearlessness","1"
"rub-a-dub","sound","1"
"house of worship","building","1"
"jemmy","wrecking bar","1"
"cursed crowfoot","goldcup","1"
"linguica","pork sausage","1"
"wester","current of air","1"
"graduated tax","taxation","1"
"glucagon","hormone","1"
"asparagus","herbaceous plant","1"
"appendix","addendum","1"
"circle","seats","1"
"isolationist","proponent","1"
"big-leaf maple","maple","1"
"amoebic dysentery","amoebiasis","1"
"leukocytosis","blood disease","1"
"soul brother","black man","1"
"postillion","equestrian","1"
"bass","percoid","1"
"genus saintpaulia","asterid dicot genus","1"
"three-toed sloth","tree sloth","1"
"cellularity","physical condition","1"
"nonconformist","dissident","1"
"spirit","import","1"
"codification","written language","1"
"osso buco","dish","1"
"electrical shunt","conductor","1"
"rete","body structure","1"
"scarlet wisteria tree","tree","1"
"photography","physical process","1"
"mock-up","simulation","1"
"character","imaginary being","1"
"ethiopian monetary unit","monetary unit","1"
"machine","somebody","1"
"liquid unit","cubage unit","1"
"jeer","derision","1"
"chipboard","plank","1"
"family iridaceae","liliid monocot family","1"
"independence","victory","1"
"voicelessness","impotence","1"
"ego","head","1"
"noon","hour","1"
"issue","phenomenon","1"
"high muckamuck","influential person","1"
"speakeasy","barroom","1"
"dutchman","european","1"
"irrigation ditch","ditch","1"
"atomic number 96","metal","1"
"fellowship","association","1"
"working class","stratum","1"
"subway","railroad","1"
"quarreller","eristic","1"
"tendosynovitis","tendonitis","1"
"thomomys talpoides","pouched rat","1"
"braincase","os","1"
"genus boselaphus","mammal genus","1"
"slot","time interval","1"
"m","alphabetic character","1"
"volution","turn","1"
"rally","assemblage","1"
"goose pimple","innate reflex","1"
"kbo","planetoid","1"
"takeaway","play","1"
"significance","content","1"
"balm of gilead","silver fir","1"
"ileostomy","ostomy","1"
"picture tube","crt","1"
"bulimic","sufferer","1"
"coat","hair","1"
"grinner","somebody","1"
"machine translation","computational linguistics","1"
"high school","middle school","1"
"decrease","change of magnitude","1"
"billyoh","large indefinite quantity","1"
"monodon monoceros","whale","1"
"tendosynovitis","tenonitis","1"
"qiangic","tibeto-burman language","1"
"jockey club","lodge","1"
"urocyon cinereoargenteus","fox","1"
"golliwog","doll","1"
"open sesame","agency","1"
"governorship","berth","1"
"spillover","result","1"
"overshoot","landing approach","1"
"shake","reflex action","1"
"torch race","relay","1"
"bandoleer","cartridge belt","1"
"gay woman","gay","1"
"perceptiveness","sensibility","1"
"asian","person of color","1"
"rebellion","resistance","1"
"swung dash","punctuation","1"
"vagueness","unclearness","1"
"dung","fecal matter","1"
"exiguity","deficiency","1"
"proponent","person","1"
"phenytoin","hydantoin","1"
"genus strepera","bird genus","1"
"skin sensation","feeling","1"
"paletiology","archeology","1"
"initialisation","data format","1"
"padrone","boniface","1"
"jitter","interference","1"
"venus's shoe","orchidaceous plant","1"
"imaginativeness","creativeness","1"
"irridentist","proponent","1"
"chemiluminescence","luminescence","1"
"cataract","eye disease","1"
"astroglia","neuroglia","1"
"commiphora","rosid dicot genus","1"
"satyridae","arthropod family","1"
"reverberation","upshot","1"
"anthrax bacillus","bacillus","1"
"chlorococcum","protoctist genus","1"
"water bitternut","hickory","1"
"persona non grata","mortal","1"
"peasecod","cod","1"
"artemisia cana","sagebrush","1"
"anchusa","herbaceous plant","1"
"escalator clause","clause","1"
"lister","moldboard plow","1"
"crataegus apiifolia","hawthorn","1"
"convection","temperature change","1"
"night-light","light","1"
"artiodactyl mammal","hoofed mammal","1"
"genus mammillaria","caryophylloid dicot genus","1"
"minge","crotch hair","1"
"encyclopedia","reference work","1"
"tailplane","aerofoil","1"
"athapaskan","amerind","1"
"crash course","curriculum","1"
"trap","design","1"
"sergeant major","demoiselle","1"
"fibroblast","embryonic cell","1"
"tennis racquet","racket","1"
"the great unwashed","grouping","1"
"ductileness","malleability","1"
"good guy","mortal","1"
"tagamet","histamine blocker","1"
"sparge pipe","pipe","1"
"stone wall","fence","1"
"tampion","stopper","1"
"tax benefit","deduction","1"
"roquette","herb","1"
"seating","service","1"
"tormentor","flat","1"
"switch grass","panic grass","1"
"goat's rue","herb","1"
"floor wax","wax","1"
"debit entry","accounting entry","1"
"carper","critic","1"
"unionization","organization","1"
"chocolate syrup","sauce","1"
"xylol","dissolving agent","1"
"laugh","witticism","1"
"inductee","military personnel","1"
"geometrical irregularity","asymmetry","1"
"prunus ilicifolia","wild plum","1"
"rap music","african-american music","1"
"silver perch","serranid fish","1"
"flowering ash","ash tree","1"
"bank account","business relationship","1"
"the way of the world","conduct","1"
"genus cricetus","mammal genus","1"
"cheek","body part","1"
"family cistaceae","dilleniid dicot family","1"
"flag stop","railway station","1"
"scolytidae","arthropod family","1"
"potboiler","literary work","1"
"mellaril","neuroleptic","1"
"wizard","occultist","1"
"cebus","mammal genus","1"
"medical aid","intervention","1"
"coffee cappuccino","coffee","1"
"peyote","cactus","1"
"stoppage","deed","1"
"language","text","1"
"federal home loan bank system","financial organisation","1"
"grid","facility","1"
"baseball diamond","parcel","1"
"undiscipline","trait","1"
"assassination","execution","1"
"hedge nettle","herb","1"
"horsetail","fern ally","1"
"noise","cry","1"
"cim","international intelligence agency","1"
"postal service","communicating","1"
"snake eyes","2","1"
"number cruncher","data processor","1"
"pavage","revenue enhancement","1"
"buchloe dactyloides","grass","1"
"lepidium sativum","cress","1"
"pya","myanmar monetary unit","1"
"sump pump","suction pump","1"
"subjugation","capture","1"
"parhelion","fleck","1"
"stripe","form","1"
"instructions","manual","1"
"condonation","pardon","1"
"fin","appendage","1"
"weather stripping","slip","1"
"twin","sib","1"
"anagallis","dicot genus","1"
"frappe","milk shake","1"
"data mining","data processing","1"
"silents","motion picture","1"
"computer game","game","1"
"wordbook","reference book","1"
"sugar candy","confect","1"
"perphenazine","anxiolytic drug","1"
"juvenile diabetes","autoimmune disease","1"
"chrysaora quinquecirrha","jellyfish","1"
"mesenteric artery","arteria","1"
"coddled egg","dish","1"
"process","writ","1"
"enterobius vermicularis","nematode","1"
"allocation","assignment","1"
"recycling","employment","1"
"alka-seltzer","alkaliser","1"
"basso profundo","basso","1"
"blood relative","relation","1"
"jefferson davis' birthday","day","1"
"anchovy paste","flavourer","1"
"rosicrucian","member","1"
"garment","wear","1"
"conceptualisation","concept","1"
"confectionary","store","1"
"imaginary part of a complex number","pure imaginary number","1"
"word salad","incoherency","1"
"blindman's buff","child's game","1"
"wave shape","wave","1"
"darpa","bureau","1"
"inosculation","colligation","1"
"rigger","artisan","1"
"diagnostic procedure","procedure","1"
"manubrium","bone","1"
"apteryx","ratite","1"
"prompt copy","book","1"
"knuckleball","delivery","1"
"wild hyacinth","camass","1"
"disorientation","muddiness","1"
"legislatorship","berth","1"
"price reduction","reduction","1"
"matricaria inodorum","herbaceous plant","1"
"narthex","antechamber","1"
"vena hemizygos","vein","1"
"warren","residential area","1"
"argus","pheasant","1"
"cortinariaceae","fungus family","1"
"culpable negligence","neglect","1"
"chain of mountains","geological formation","1"
"good book","religious writing","1"
"israelites","chosen people","1"
"good temper","temper","1"
"longways dance","contradance","1"
"in-fighting","combat","1"
"rat-tat","tapping","1"
"pardoner","person","1"
"self-renunciation","forswearing","1"
"401-k plan","pension plan","1"
"hit parade","aggregation","1"
"decoration","honour","1"
"centering","engrossment","1"
"nosegay","floral arrangement","1"
"brief","official document","1"
"red-header","soul","1"
"fastness","rate","1"
"credenza","sideboard","1"
"porker","hog","1"
"scourer","traveler","1"
"komondor","shepherd dog","1"
"surgeonfish","percoid","1"
"topological space","space","1"
"welder","artisan","1"
"feeling of movement","somataesthesis","1"
"delinquency","negligence","1"
"deathwatch","beetle","1"
"muzjik","peasant","1"
"oil slick","slick","1"
"heater","device","1"
"workload","employment","1"
"closure","obstructor","1"
"hairiness","appearance","1"
"alms-giving","gift","1"
"one-and-one","foul shot","1"
"usaf","federal agency","1"
"cervical cap","birth control device","1"
"syrian bear","bruin","1"
"testudinata","animal order","1"
"debris","trash","1"
"microcytic anaemia","anemia","1"
"victory lap","lap","1"
"strawboard","composition board","1"
"steamroller","force","1"
"skin color","colour","1"
"origanum","herb","1"
"stand","posture","1"
"sensitive pea","subshrub","1"
"latin","somebody","1"
"asphyxiation","killing","1"
"nitroglycerine","nitrate","1"
"noise conditions","condition","1"
"necking","molding","1"
"mokulu","east chadic","1"
"television","telecommunication system","1"
"pokomo","bantoid language","1"
"eggcup","crockery","1"
"retentivity","impermeableness","1"
"trade-off","exchange","1"
"holcus lanatus","grass","1"
"onycholysis","onychosis","1"
"isopyrum biternatum","herb","1"
"common camas","camash","1"
"genus sabal","liliopsid genus","1"
"wing","organ","1"
"start","signaling","1"
"leading indicator","indicator","1"
"amerind","tongue","1"
"angriness","emotional arousal","1"
"mahimahi","saltwater fish","1"
"pipeclay","clay","1"
"slam dunk","foregone conclusion","1"
"rain stick","percussive instrument","1"
"territory","geographical area","1"
"district manager","director","1"
"ground stroke","return","1"
"alnus glutinosa","alder tree","1"
"provision","stock","1"
"hydraulic cement","cement","1"
"system of numeration","mathematical notation","1"
"necrophagia","eating","1"
"spender","client","1"
"roach clip","tweezer","1"
"slow motion","picture","1"
"surrenderer","soul","1"
"political scientist","social scientist","1"
"pregnant chad","chad","1"
"malignment","traducement","1"
"informational rna","rna","1"
"chrome-tungsten steel","alloy steel","1"
"toxicodendron vernicifluum","poisonous plant","1"
"sodium lauryl sulphate","sulfate","1"
"imposture","dissimulation","1"
"hajji","iraki","1"
"fruition","condition","1"
"dipteronia","magnoliopsid genus","1"
"southern crab apple","crab apple","1"
"knucks","weapon system","1"
"chorea","nervous disorder","1"
"spaceship","ballistic capsule","1"
"platelet","living substance","1"
"dipogon","rosid dicot genus","1"
"socket","cavity","1"
"jupati","raffia ruffia","1"
"cranberry juice","fruit crush","1"
"family","taxonomic category","1"
"sea-lavender family","dicot family","1"
"genus boswellia","rosid dicot genus","1"
"amplification","expanding upon","1"
"tea napkin","table napkin","1"
"reflexology","massage","1"
"sketch pad","book","1"
"self","somebody","1"
"kinyarwanda","bantu","1"
"welcomer","soul","1"
"rocky mountain jay","whisker jack","1"
"eriophyllum lanatum","woolly sunflower","1"
"showplace","place","1"
"ceramic","instrumentality","1"
"villager","denizen","1"
"mission bells","fritillary","1"
"diversion","turn","1"
"echolalia","repeating","1"
"acrodont","beast","1"
"vibe","atmosphere","1"
"eburnation","organic process","1"
"intolerance","mental attitude","1"
"whicker","cry","1"
"surplus","superabundance","1"
"adjuration","appeal","1"
"tittle","small indefinite quantity","1"
"amphibian","motor vehicle","1"
"abandonment","disposition","1"
"common-law marriage","spousal relationship","1"
"genus cannabis","magnoliopsid genus","1"
"samolus parviflorus","water pimpernel","1"
"dietitian","specialiser","1"
"hurry","move","1"
"incarnation","religious doctrine","1"
"moonshine","corn whisky","1"
"deglutition","consumption","1"
"washup","cleaning","1"
"galaxy","herb","1"
"disintegration","nuclear reaction","1"
"platitude","comment","1"
"lacquerware","work","1"
"hard core","clique","1"
"eye socket","bodily cavity","1"
"impurity","waste material","1"
"pout","blennioid fish","1"
"eighter from decatur","figure","1"
"monopsony","market","1"
"dayboy","day boarder","1"
"capacitance unit","electromagnetic unit","1"
"skimming","removal","1"
"vigour","sprightliness","1"
"superciliousness","arrogance","1"
"minivan","auto","1"
"spyware","package","1"
"vice crime","criminal offense","1"
"rough cut","motion-picture show","1"
"red worm","oligochaete worm","1"
"silver star","medal","1"
"airfoil","device","1"
"eruption","egress","1"
"snafu","bungle","1"
"elegant cat's ears","mariposa lily","1"
"linear regression","simple regression","1"
"archdiocese","diocese","1"
"manna","sap","1"
"soundboard","resonating chamber","1"
"gray snapper","snapper","1"
"undercharge","charge","1"
"personnel office","department","1"
"candlestick","holder","1"
"asian nation","state","1"
"chili powder","flavouring","1"
"laughing gull","sea gull","1"
"cover","bedding","1"
"ulmus hollandica vegetata","elm tree","1"
"spin the platter","child's game","1"
"ovulation method of family planning","natural family planning","1"
"handbreadth","linear unit","1"
"image","set","1"
"neural network","computer architecture","1"
"white blood cell","corpuscle","1"
"impurity","waste","1"
"blade","cut of beef","1"
"moban","neuroleptic agent","1"
"grasp","potentiality","1"
"cromlech","megalith","1"
"jasminum officinale","jasmine","1"
"viburnum","asterid dicot genus","1"
"portion","physical object","1"
"gloss","smoothness","1"
"ullage","indefinite quantity","1"
"mandatory injunction","cease and desist order","1"
"mischievousness","misdeed","1"
"transposition","chromosomal mutation","1"
"inquisitor","functionary","1"
"matrimony","sacrament","1"
"acceleration","speed","1"
"yakety-yak","talking","1"
"foliation","development","1"
"crater","formation","1"
"dream","vision","1"
"smallness","parsimony","1"
"bullhorn","loudspeaker system","1"
"knowledge base","cognitive content","1"
"dinornithiformes","animal order","1"
"roper","journeyman","1"
"accipitriformes","bird of prey","1"
"grain","littleness","1"
"clothes peg","fastening","1"
"narcoterrorism","act of terrorism","1"
"lady","adult female","1"
"green smut","smut","1"
"leucocyte","corpuscle","1"
"sneak","informer","1"
"u. s. air force","government agency","1"
"ant cow","aphid","1"
"cervical vein","vein","1"
"pituitary dwarf","dwarf","1"
"heebie-jeebies","nerves","1"
"flag waving","demagoguery","1"
"dictionary","wordbook","1"
"karenic","tibeto-burman language","1"
"diplopia","visual disorder","1"
"harmattan","current of air","1"
"ankus","prod","1"
"book lover","bookman","1"
"heresy","cognitive content","1"
"hypoparathyroidism","glandular disease","1"
"autosomal dominant disorder","congenital disease","1"
"divisibility","quality","1"
"black vulture","old world vulture","1"
"amputator","sawbones","1"
"syncopation","articulation","1"
"order tuberales","fungus order","1"
"interpreter","soul","1"
"arteriectasia","pathology","1"
"trench mortar","high-angle gun","1"
"sword stick","cane","1"
"pederasty","paraphilia","1"
"scandalousness","disgracefulness","1"
"smart money","indemnity","1"
"leucorrhea","mucous secretion","1"
"slumber","physiological condition","1"
"menace","threat","1"
"latent content","message","1"
"cash register","till","1"
"high beam","beam of light","1"
"defenselessness","vulnerability","1"
"tepee","tent","1"
"metaphor","figure","1"
"binocular vision","vision","1"
"tyto alba","bird of minerva","1"
"paralipomenon","sacred writing","1"
"arcade","construction","1"
"family balaenicipitidae","bird family","1"
"coriander seed","flavouring","1"
"reconstruction","recollection","1"
"bound","jumping","1"
"waste-yard","land site","1"
"snogging","kissing","1"
"ragtag and bobtail","folk","1"
"shoe","scale","1"
"commercial bribery","graft","1"
"observatory","building","1"
"tabernacle","sanctuary","1"
"superintendent","supervisor","1"
"snuggling","arousal","1"
"miso","paste","1"
"comradery","sociableness","1"
"bird watcher","animal scientist","1"
"neoceratodus","fish genus","1"
"alluvial deposit","deposit","1"
"fieldwork","munition","1"
"argentine hemorrhagic fever","viral hemorrhagic fever","1"
"ipod","stereo system","1"
"blue fox","white fox","1"
"genus pulsatilla","magnoliid dicot genus","1"
"beguiler","somebody","1"
"virago","woman","1"
"legitimation","human activity","1"
"dry vermouth","vermouth","1"
"japanese lawn grass","zoysia","1"
"truss","patch","1"
"cyclopteridae","fish family","1"
"spraguea umbellatum","wild flower","1"
"rip-off","robbery","1"
"gerreidae","fish family","1"
"citellus parryi","ground squirrel","1"
"oxytropis lambertii","locoweed","1"
"heaviness","unhappiness","1"
"poisoning","kill","1"
"baked potato","white potato","1"
"colour","tone","1"
"gaffe","fuckup","1"
"whitetail","deer","1"
"bush lawyer","bramble bush","1"
"yellow-throated marten","marten cat","1"
"neurosurgery","operation","1"
"troglodytes aedon","wren","1"
"anaphalis margaritacea","everlasting","1"
"brigade","army unit","1"
"kalif","muslim","1"
"foot rule","ruler","1"
"synthetic","compound","1"
"rosary","beads","1"
"parietomastoid suture","sutura","1"
"lychnis coronaria","catchfly","1"
"acetylene","aliphatic compound","1"
"danger","country","1"
"dominant allele","allelomorph","1"
"neckpiece","clothing","1"
"quadric","curve","1"
"right-handedness","laterality","1"
"scuba diver","frogman","1"
"tale","prevarication","1"
"hypsiprymnodon moschatus","kangaroo","1"
"foot","pedal extremity","1"
"platitude","input","1"
"vesuvianite","mineral","1"
"keelson","beam","1"
"c program","computer program","1"
"mitrewort","herbaceous plant","1"
"vinca minor","periwinkle","1"
"computer graphic","image","1"
"oilstove","heater","1"
"main-topsail","canvass","1"
"inclosure","intromission","1"
"snag","bulge","1"
"apron","protective garment","1"
"ball","baseball game","1"
"short-horned grasshopper","hopper","1"
"lycian","anatolian","1"
"visual sensation","sense experience","1"
"ball hawk","athlete","1"
"federal home loan mortgage corporation","corporation","1"
"scalded milk","milk","1"
"whole name","word","1"
"smack","buss","1"
"curse","denouncement","1"
"hostile","troops","1"
"drawknife","knife","1"
"tape","measuring device","1"
"masticophis flagellum","whip-snake","1"
"th","weekday","1"
"presidentship","office","1"
"resident","dweller","1"
"ice maker","kitchen appliance","1"
"conspiracy","secret plan","1"
"integrated circuit","computer circuit","1"
"telephone kiosk","stall","1"
"injectant","solution","1"
"captor","individual","1"
"thunnus","fish genus","1"
"expounding","interpretation","1"
"prostitute","adult female","1"
"donor card","identity card","1"
"neuroleptic agent","tranquillizer","1"
"literacy","acquisition","1"
"burning","oxidisation","1"
"vernacular art","genre","1"
"operating statement","statement","1"
"highway","road","1"
"law student","pupil","1"
"cooley's anaemia","thalassaemia","1"
"primary amenorrhea","amenorrhoea","1"
"commonness","normalcy","1"
"snap","undertaking","1"
"chemical warfare","war","1"
"aphaeresis","deletion","1"
"paederasty","gayness","1"
"capon","volaille","1"
"meringue kiss","candy kiss","1"
"slough","pathology","1"
"esmolol","beta blocker","1"
"moban","neuroleptic","1"
"depression","air mass","1"
"anhydrosis","physical condition","1"
"zooplankton","animal","1"
"gallamine","neuromuscular blocking agent","1"
"swimming event","match","1"
"cony","eutherian","1"
"water pipe","pipe","1"
"excruciation","torture","1"
"mannerism","peculiarity","1"
"delirium","psychological disorder","1"
"moreton bay tulipwood","harpullia","1"
"pibit","computer memory unit","1"
"lens capsule","capsule","1"
"subcontinent","land mass","1"
"tricolour","flag","1"
"alder-leaved serviceberry","shadbush","1"
"second","time","1"
"aileron","aerofoil","1"
"aeschynanthus","epiphyte","1"
"ev","energy unit","1"
"guise","color","1"
"trilateral","polygonal shape","1"
"french region","geographical area","1"
"rack railway","railway system","1"
"pinscher","guard dog","1"
"postmortem","scrutiny","1"
"distention","enlargement","1"
"calling card","credit card","1"
"administrative data processing","data processing","1"
"driveway","route","1"
"shaper","creator","1"
"genus gymnorhina","bird genus","1"
"caper","recreation","1"
"loofah","dishcloth gourd","1"
"echolalia","repetition","1"
"oenothera","magnoliopsid genus","1"
"church of ireland","anglican communion","1"
"anoestrus","physiological condition","1"
"razorback","whalebone whale","1"
"operator","businessman","1"
"fiberscope","medical instrument","1"
"typhlopidae","reptile family","1"
"coming attraction","film","1"
"indiscreetness","judgment","1"
"pongidae","mammal family","1"
"wriggler","somebody","1"
"local anesthetic","anaesthetic","1"
"zovirax","medication","1"
"board of trustees","governing board","1"
"organisation","disposal","1"
"argonaut","venturer","1"
"knock rummy","rum","1"
"nom de plume","anonym","1"
"marsilea quadrifolia","pepperwort","1"
"light air","gentle wind","1"
"lager beer","beer","1"
"gob","crewman","1"
"sedge family","monocot family","1"
"memorisation","learning","1"
"self-condemnation","accusal","1"
"grape juice","fruit juice","1"
"proconsul","functionary","1"
"countermeasure","measure","1"
"vena radialis","venous blood vessel","1"
"body odor","fetidness","1"
"lathyrus tuberosus","vine","1"
"pick-off","baseball play","1"
"doctor of humanities","honoris causa","1"
"tranylcypromine","maoi","1"
"genus martes","mammal genus","1"
"major lobe","lobe","1"
"operation","activeness","1"
"ploy","tactical maneuver","1"
"masquerade","costume","1"
"muffle","kiln","1"
"x-axis","coordinate axis","1"
"blueness","chromatic color","1"
"pomatum","hairdressing","1"
"chin wagging","schmoose","1"
"flavone","chemical compound","1"
"control tower","tower","1"
"dictation","speech act","1"
"potpourri","collection","1"
"ballistic missile defense organization","government agency","1"
"khmer","mon-khmer","1"
"achoerodus gouldii","wrasse","1"
"marguerite","subshrub","1"
"tartufe","dissembler","1"
"acoustic storage","storage device","1"
"aramus pictus","wading bird","1"
"tenseness","status","1"
"ded","doctor's degree","1"
"gallinula chloropus cachinnans","gallinule","1"
"ling","water chestnut plant","1"
"chicken wire","net","1"
"rheumatoid spondylitis","autoimmune disorder","1"
"falseness","unfaithfulness","1"
"line of inquiry","line of reasoning","1"
"whirlwind","windstorm","1"
"pullman","passenger car","1"
"balkline","line","1"
"selaginella apoda","spike moss","1"
"yahoo","rustic","1"
"imitation","copy","1"
"neutron bomb","plutonium bomb","1"
"quadriceps femoris","extensor","1"
"closing off","separation","1"
"rebirth","revivification","1"
"magazine","publisher","1"
"bandage","dressing","1"
"occident","hemisphere","1"
"campaign","military operation","1"
"barrator","wrongdoer","1"
"stone root","herb","1"
"source","action","1"
"verbiage","formulation","1"
"quartering","housing","1"
"theological doctrine","ism","1"
"hunter","ticker","1"
"highest common factor","common divisor","1"
"totten trust","trust","1"
"shamefacedness","embarrassment","1"
"keratoscopy","scrutiny","1"
"bobber","float","1"
"easing","decrease","1"
"pile","money","1"
"meal ticket","coupon","1"
"wavelet","wave","1"
"guimpe","blouse","1"
"neptunium","metal","1"
"fulminate","salt","1"
